Manufacturer,Model,Mode,Laser Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD)
EOS,EOSINT P 760,Surface,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Metal, PS",27.6,15,22.9,"$500,000 - $999,999"
EOS,EOSINT P 800,N/A,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer",PEEK,27.6,15,22.05,"$500,000 - $999,999"
EOS,EOSINT P 800,Standard,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer",PEEK,27.6,15,22.05,"$500,000 - $999,999"
EOS,EOSINT S 750,N/A,1000,Powder Bed Fusion (e.g. SLS),Sand,Silicate,28.4,15,15,"$500,000 - $999,999"
EOS,FORMIGA P 100,N/A,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer",,7.9,9.8,13,"$100,000 - $249,999"
EOS,FORMIGA P 100 (Rel 2),N/A,,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Metal, PS",,,,"$100,000 - $249,999"
EOS,FORMIGA P 100 Dental,N/A,,Powder Bed Fusion (e.g. SLS),"Composite, Polymer",PA,,,,"$100,000 - $249,999"
EOS,FORMIGA P 110,N/A,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Metal, PS",7.9,9.8,13,"$100,000 - $249,999"
EOS,Precious M 080,N/A,100,Powder Bed Fusion (e.g. SLS),Metal,Gold,3.15,3.15,3.94,"$100,000 - $249,999"
ExOne,Innovent,,,Binder Jetting,"Metal, Ceramic, Composite","Steel, Cobalt, Nickel, Aluminum, Titanium, Cermet",6.3,2.56,2.56,"$100,000 - $249,999"
ExOne,M-Flex,N/A,,Binder Jetting,Metal,Steel,15.7,9.8,9.8,"$250,000 - $499,999"
ExOne,M-Print,N/A,,Binder Jetting,Metal,Steel,31.5,19.68,15.75,"$100,000 - $249,999"
ExOne,S-Max Furan,N/A,,Binder Jetting,Sand,Silicate,70.9,39.37,27.56,"Greater than $1,000,000"
ExOne,S-Print Furan,N/A,,Binder Jetting,Sand,Silicate,31.5,19.68,15.75,"$500,000 - $999,999"
ExOne,S-Print Phenol,N/A,,Binder Jetting,Sand,Silicate,31.5,19.68,15.75,"$500,000 - $999,999"
ExOne,S-Print Silicate,N/A,,Binder Jetting,Sand,Silicate,31.5,19.68,15.75,"$500,000 - $999,999"
ExOne,X1-Lab,N/A,,Binder Jetting,Metal,Steel,1.5,2.3,1.3,"$100,000 - $249,999"
Fabrisonic,SonicLayer 4000,,,Sheet Lamination,Metal,"Aluminum, Steel, Titanium, Nickel, Copper, Gold, Silver, Refractory Metal",40,24,24,"Greater than $1,000,000"
Fabrisonic,SonicLayer 7200,,,Sheet Lamination,Metal,"Aluminum, Steel, Titanium, Nickel, Copper, Gold, Silver, Refractory Metal",72,72,36,"Greater than $1,000,000"
Fabrisonic,SonicLayer R200,,,Sheet Lamination,Metal,"Aluminum, Steel, Titanium, Nickel, Copper, Gold, Silver, Refractory Metal",22,12,10,"$250,000 - $499,999"
Hunan Farsoon,FARSOON 251,,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, PA-Mineral",9.84,9.84,12.6,"$100,000 - $249,999"
Hunan Farsoon,FARSOON 401,,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, PA-Mineral",15.75,15.75,17.72,"$250,000 - $499,999"
Hunan Farsoon,FARSOON 402,,100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, PA-Mineral",15.75,15.75,17.72,"$250,000 - $499,999"
Kevvox,SP4300,,,Vat Photopolymerization (e.g. SLA),Polymer,"PP, ABS",2.2,1.38,3.94,"Less than $49,999"
Kevvox,SP6200,,,Vat Photopolymerization (e.g. SLA),Polymer,"PP, ABS",3.15,1.97,3.94,"Less than $49,999"
Keyence,Agilista-3100,,,Material Jetting,Polymer,,11.69,8.27,7.87,"Less than $49,999"
Lithoz,CeraFab 7500,,,Vat Photopolymerization (e.g. SLA),Ceramic,"Zirconia, Alumina",3,1.7,5.9,"$100,000 - $249,999"
MCor Technologies,IRIS,,,Sheet Lamination,Paper,Paper,10.08,6.65,5.91,"Less than $49,999"
MCor Technologies,Matrix 300+,,,Sheet Lamination,Paper,Paper,10.08,6.65,5.91,"Less than $49,999"
Optomec,LENS 450,N/A,400,Directed Energy Deposition,Metal,,3.94,3.94,3.94,"$250,000 - $499,999"
Optomec,LENS 850-R,N/A,1000,Directed Energy Deposition,Metal,,35.43,59.06,35.43,"$500,000 - $999,999"
Optomec,LENS 850-R,N/A,2000,Directed Energy Deposition,Metal,,35.43,59.06,35.43,"$500,000 - $999,999"
Optomec,LENS 850-R,N/A,3000,Directed Energy Deposition,Metal,,35.43,59.06,35.43,"$500,000 - $999,999"
Optomec,LENS 850-R,N/A,4000,Directed Energy Deposition,Metal,,35.43,59.06,35.43,"$500,000 - $999,999"
Optomec,LENS MR-7,N/A,500,Directed Energy Deposition,Metal,,11.81,11.81,11.81,"$500,000 - $999,999"
Optomec,LENS MR-7,N/A,1000,Directed Energy Deposition,Metal,,11.81,11.81,11.81,"$500,000 - $999,999"
Optomec,LENS MR-7,N/A,2000,Directed Energy Deposition,Metal,,11.81,11.81,11.81,"$500,000 - $999,999"
Prodways,ProMaker D35,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS,28.35,9.06,5.91,Price not reported
Prodways,ProMaker L5000,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS,15.75,12.99,15.75,Price not reported
Prodways,ProMaker L5000 D,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS,15.75,12.99,7.87,Price not reported
Prodways,ProMaker L6000,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS,31.5,12.99,15.75,Price not reported
Prodways,ProMaker L6000 D,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS,31.5,12.99,7.87,Price not reported
Prodways,ProMaker L7000,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS,31.5,12.99,15.75,Price not reported
Prodways,ProMaker L7000 D,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS,31.5,12.99,7.87,Price not reported
Prodways,ProMaker L8000,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS,33.07,25.98,21.65,Price not reported
Prodways,ProMaker V6000,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS,4.72,19.69,5.91,Price not reported
Realizer,SLM 100,,,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel",4.92,4.92,7.87,"$100,000 - $249,999"
Realizer,SLM 125,,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel",4.92,4.92,7.87,"$250,000 - $499,999"
Realizer,SLM 250,,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel",9.84,9.84,11.81,"$250,000 - $499,999"
Realizer,SLM 250,,600,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel",9.84,9.84,11.81,"$250,000 - $499,999"
Realizer,SLM 50,,,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel, Gold",2.76,2.76,1.57,"$100,000 - $249,999"
Realizer,SLM300,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel",11.81,11.81,11.81,"$500,000 - $999,999"
Realizer,SLM300,,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel",11.81,11.81,11.81,"$500,000 - $999,999"
Realizer,SLM300,,600,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel",11.81,11.81,11.81,"$500,000 - $999,999"
Realizer,SLM300,,1000,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel",11.81,11.81,11.81,"$500,000 - $999,999"
Renishaw,AM 250,N/A,200,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Nickel, Titanium",9.65,9.65,11.81,"$500,000 - $999,999"
Renishaw,AM 250,N/A,400,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Nickel, Titanium",9.65,9.65,11.81,"$500,000 - $999,999"
Sciaky,VX-110,Rotary / Headstock,,Directed Energy Deposition,Metal,,73,47,53,"Greater than $1,000,000"
Sciaky,VX-110,Rotary / Tilt,,Directed Energy Deposition,Metal,,73,47,32.5,"Greater than $1,000,000"
Sciaky,VX-110,Single Wirefeed,,Directed Energy Deposition,Metal,,70,,,"Greater than $1,000,000"
Sciaky,VX-110,Standard,,Directed Energy Deposition,Metal,,73,47,63,"Greater than $1,000,000"
Shaanxi Hengtong,Digital Light Processing,,,Vat Photopolymerization (e.g. SLA),Polymer,,5.91,4.72,3.15,"Less than $49,999"
Shaanxi Hengtong,SCPS350B,,,Vat Photopolymerization (e.g. SLA),Polymer,,13.78,13.78,9.84,"$50,000 - $99,999"
Shaanxi Hengtong,SPS250E,,,Vat Photopolymerization (e.g. SLA),Polymer,,9.84,9.84,5.91,Price not reported
Shaanxi Hengtong,SPS250J,,,Vat Photopolymerization (e.g. SLA),Polymer,,9.84,9.84,3.94,Price not reported
Shaanxi Hengtong,SPS250M,,,Vat Photopolymerization (e.g. SLA),Polymer,,9.84,9.84,9.84,Price not reported
Shaanxi Hengtong,SPS350B,,,Vat Photopolymerization (e.g. SLA),Polymer,,13.78,13.78,13.78,"$100,000 - $249,999"
Shaanxi Hengtong,SPS450B,,,Vat Photopolymerization (e.g. SLA),Polymer,,17.72,17.72,13.78,"$100,000 - $249,999"
Shaanxi Hengtong,SPS600B,,,Vat Photopolymerization (e.g. SLA),Polymer,,23.62,23.62,15.75,"$250,000 - $499,999"
Shanghai Union Technology,RS3500,,,Vat Photopolymerization (e.g. SLA),Polymer,,13.8,13.8,11.8,"$100,000 - $249,999"
Shanghai Union Technology,RS4500,,,Vat Photopolymerization (e.g. SLA),Polymer,,17.7,17.7,15.7,"$100,000 - $249,999"
Shanghai Union Technology,RS6000,,,Vat Photopolymerization (e.g. SLA),Polymer,,23.6,23.6,15.7,"$100,000 - $249,999"
Shanghai Union Technology,RS8000,,,Vat Photopolymerization (e.g. SLA),Polymer,,31.5,23.6,15.7,Price not reported
Sisma,MYSINT 100,,150,Powder Bed Fusion (e.g. SLS),Metal,"Bronze, Cobalt, Steel",3.94,3.94,3.94,Price not reported
SLM Solutions,SLM 125 HL,N/A,100,Powder Bed Fusion (e.g. SLS),Metal,,4.92,4.92,2.95,"$100,000 - $249,999"
