Material Supplier,Material Name,General Material Type,Specific Material Type,Post Processed,Ultimate Tensile Strength Min (MPa),Ultimate Tensile Strength Max (MPa),Tensile Modulus Min (MPa),Tensile Modulus Max (MPa),Elongation at Break Min (%),Elongation at Break Max (%),Flexural Strength Min (MPa),Flexural Strength Max (MPa),Flexural Modulus Min (MPa),Flexural Modulus Max (MPa),Hardness Shore Scale,Hardness Min,Hardness Max,HDT Min (C),HDT Max (C),Glass Transition Temp Min (C),Glass Transition Temp Max (C),Part Density (g/cm3),Flammability,USP Class VI Certified
Optomec,Stanless Steel 316,Metal,Steel,No,799,799,,,50,50,,,,,,,,,,,,,,No
Optomec,Ti 48-2-2,Metal,Titanium,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Ti 6-2-4-2,Metal,Titanium,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Ti 6-2-4-6,Metal,Titanium,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Ti22Al23Nb,Metal,Titanium,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Ti6Al4V,Metal,Titanium,No,1077,1077,,,11,11,,,,,,,,,,,,,,No
Optomec,Tool Steel A-2,Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Tool Steel H13,Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Tool Steel S7,Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Waspalloy,Metal,Nickel,No,,,,,,,,,,,,,,,,,,,,No
Oxford Performance Materials,OXPEKK OXFAB,Polymer,PEEK,No,48,83,3530,3940,1.2,2.5,180,180,3937,3937,,,,,,155,155,,V-0,No
Prodways,PLASTCure Cast 200,Polymer,,No,,,1800,2800,1,5,80,90,2200,3200,Shore D,80,85,,,,,,,No
Prodways,PLASTCure Model 200,Polymer,,No,55,80,1900,2000,0.5,1.5,,,1800,2100,Shore D,81,85,90,100,,,,,No
Prodways,PLASTCure Model 300,Polymer,,No,,,1900,2100,1.2,2,95,130,2150,2400,Shore D,80,85,,,,,,,No
Renishaw,Renishaw AlSi10Mg,Metal,Aluminum,Yes,332,341,,,4,10,,,,,,,,,,,,2.68,,No
Renishaw,Renishaw Inconel 718,Metal,Nickel,No,800,1010,,,14,27,,,,,,,,,,,,,,No
Renishaw,Renishaw Inconel 718,Metal,Nickel,Yes,1175,1250,,,8,12,,,,,,,,,,,,8.19,,No
Renishaw,Renishaw Ti6Al4V (grade 23),Metal,Titanium,Yes,1155,1197,,,2,8,,,,,,,,,,,,4.42,,No
Sandvik,17-4PH (Sandvik),Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Sandvik,18Ni300 (Sandvik),Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Sandvik,304L (Sandvik),Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Sandvik,316L (Sandvik),Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Sandvik,4140 (Sandvik),Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Sandvik,430L (Sandvik),Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Sandvik,4365 (Sandvik),Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Sandvik,440C (Sandvik),Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Sandvik,8620 (Sandvik),Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Sandvik,Cu10Mn3Ni (Sandvik),Metal,Copper,No,,,,,,,,,,,,,,,,,,,,No
Sandvik,Cu10Sn (Sandvik),Metal,Copper,No,,,,,,,,,,,,,,,,,,,,No
Sandvik,D2 (Sandvik),Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Sandvik,F75 (Sandvik),Metal,Cobalt,No,,,,,,,,,,,,,,,,,,,,No
Sandvik,F90 (Sandvik),Metal,Cobalt,No,,,,,,,,,,,,,,,,,,,,No
Sandvik,H13 (Sandvik),Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Sandvik,IN625 (Sandvik),Metal,Nickel,No,,,,,,,,,,,,,,,,,,,,No
Sandvik,IN718 (Sandvik),Metal,Nickel,No,,,,,,,,,,,,,,,,,,,,No
Sandvik,M2 (Sandvik),Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Sandvik,SAF2507 (Sandvik),Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Sandvik,SKD-11 (Sandvik),Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
SLM Solutions,SLM Solutions 1.2344 (H13),Metal,Steel,Yes,1700,1760,,,,,,,,,,,,,,,,,,No
SLM Solutions,SLM Solutions 1.2709,Metal,Steel,Yes,1080,1140,,,,,,,,,,,,,,,,,,No
SLM Solutions,SLM Solutions 1.4404 (316L),Metal,Steel,No,595,655,,,,,,,,,,,,,,,,,,No
SLM Solutions,SLM Solutions 1.4540 (15-5PH),Metal,Steel,No,1050,1150,,,12,20,,,,,,,,,,,,,,No
SLM Solutions,SLM Solutions AlSi10Mg,Metal,Aluminum,No,352,352,,,3.9,3.9,,,,,,,,,,,,,,No
SLM Solutions,SLM Solutions AlSi12,Metal,Aluminum,No,389,429,,,5.1,5.1,,,,,,,,,,,,,,No
SLM Solutions,SLM Solutions AlSi7Mg,Metal,Aluminum,No,277,311,,,3.3,3.3,,,,,,,,,,,,,,No
SLM Solutions,SLM Solutions CoCr ASTM F75,Metal,Cobalt,No,1030,1070,,,,,,,,,,,,,,,,,,No
SLM Solutions,SLM Solutions Inconel 625,Metal,Nickel,No,680,680,,,30,30,,,,,,,,,,,,,,No
